status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
4,82,0,0,4925,5,3,4,3,3,2,82,1,1,2,4,1,2,1,0
1,28,3,9,3700,3,2,3,3,4,4,76,2,2,3,1,2,1,1,0
2,45,0,9,9300,2,5,1,3,1,1,66,2,2,1,3,2,2,0,0
3,52,4,7,4600,3,2,3,1,3,2,23,2,3,1,2,2,2,1,0
4,77,1,7,7400,2,4,2,1,1,4,59,1,3,3,1,1,2,1,0
4,81,3,2,4900,4,2,2,1,2,3,23,2,3,2,3,1,2,1,0
4,85,0,3,3150,3,2,2,1,4,2,26,3,3,3,4,1,2,0,0
1,29,0,1,2925,1,1,3,1,3,1,47,1,2,3,1,1,2,1,0
3,76,2,9,7600,1,2,3,3,1,3,48,2,1,4,4,2,2,0,0
3,83,4,3,3050,2,3,2,1,3,4,54,2,3,4,2,2,1,0,0
3,100,1,1,4625,2,2,1,1,3,1,57,1,3,4,4,2,1,1,0
3,89,4,4,4600,4,3,3,2,4,2,73,1,3,4,3,2,2,1,0
4,65,2,9,5625,5,5,4,1,4,4,61,1,3,3,1,1,1,0,0
2,4,0,7,7625,2,3,3,1,1,4,40,3,2,4,1,2,1,1,0
1,31,1,1,5775,4,3,2,2,2,2,62,2,1,3,4,1,1,1,0
3,79,0,8,3925,4,2,1,3,2,4,53,1,2,2,3,2,1,1,0
3,74,0,4,3525,5,5,3,3,1,3,72,2,2,4,4,1,1,1,0
4,20,0,2,9975,2,1,1,1,2,2,53,3,1,1,4,2,2,1,0
3,8,3,3,8525,4,2,4,1,2,3,40,2,1,1,2,1,1,1,0
4,71,2,6,7150,5,4,3,3,3,4,76,2,1,3,4,1,2,1,0
1,36,3,4,8550,4,5,2,1,3,1,55,2,3,1,4,1,1,1,0
4,46,0,0,6575,3,2,3,2,2,1,33,3,3,4,2,1,1,1,0
2,93,2,0,4800,5,3,2,2,4,2,32,2,1,2,2,1,1,0,0
2,70,3,2,9475,2,2,3,3,1,1,58,3,1,1,3,1,1,0,0
3,33,3,3,8725,3,2,2,3,1,4,84,2,3,2,2,2,2,1,0
4,54,2,8,3675,5,5,1,1,2,4,53,1,3,4,2,1,2,1,0
2,100,0,1,6200,4,2,2,3,3,1,20,1,3,3,2,1,2,0,0
4,52,3,2,8250,1,5,2,2,4,4,76,3,2,3,3,2,1,1,0
2,49,0,8,8825,4,2,1,1,4,2,52,1,3,2,4,2,2,0,0
2,39,2,9,4450,5,2,4,2,2,3,34,2,3,3,1,1,2,0,0
1,87,4,9,3650,5,3,2,3,2,2,20,2,3,2,2,2,1,1,0
4,78,0,10,3975,1,4,1,2,1,2,41,3,2,2,4,2,1,0,0
2,67,0,3,9750,1,1,2,1,3,1,26,3,1,1,2,2,2,1,0
2,20,1,1,1650,5,1,4,2,3,1,66,2,3,4,4,1,1,0,0
4,75,4,4,6800,3,4,1,2,2,4,48,1,3,1,2,1,2,0,0
1,17,4,5,1875,2,2,2,2,4,2,79,3,2,4,2,1,1,1,0
2,79,2,5,3800,2,5,1,1,1,1,35,2,1,4,4,1,1,1,0
1,90,2,2,4325,3,3,1,3,4,3,52,3,3,1,1,2,2,0,0
1,38,0,7,3650,5,3,3,3,4,2,64,3,1,1,3,1,1,0,0
3,81,0,3,9075,3,5,3,1,3,4,18,3,1,1,4,2,2,0,0
3,54,4,3,9275,2,2,4,1,2,3,34,3,3,2,3,2,1,1,0
2,9,2,2,4300,2,4,4,2,3,4,20,1,2,3,1,1,2,1,0
3,36,2,9,2775,5,4,3,2,1,2,75,1,1,2,2,1,1,0,0
3,47,1,6,3750,5,4,1,2,1,2,56,2,1,4,3,1,1,0,0
2,73,2,4,1600,5,4,4,1,3,3,36,1,3,3,1,2,1,1,0
2,41,3,7,7050,5,4,2,2,4,4,78,3,2,2,2,1,2,0,0
1,13,4,4,7500,3,5,3,3,1,2,28,1,1,4,1,2,2,1,0
1,71,4,7,350,3,4,1,1,2,4,43,1,3,3,4,1,1,1,0
2,69,1,1,4150,4,5,4,1,4,2,81,1,3,2,2,2,2,1,0
1,30,3,8,3700,2,3,1,2,2,2,36,3,3,2,1,2,1,0,0
4,24,4,8,825,3,1,2,2,1,2,30,3,2,3,2,2,1,1,0
3,92,2,2,3850,3,5,2,1,1,2,77,3,1,1,1,2,2,1,0
3,39,3,4,4525,3,2,4,3,1,4,53,3,3,4,3,1,1,0,0
3,92,2,4,3400,5,5,3,1,3,1,70,1,3,2,3,2,1,0,0
4,11,3,2,9275,5,2,1,3,4,4,33,1,1,1,4,1,1,0,0
1,71,3,8,3625,3,4,1,2,1,1,41,3,1,4,2,1,2,0,0
1,55,0,5,2950,3,4,2,2,1,3,70,3,3,3,2,1,1,1,0
2,34,4,1,4100,2,5,1,2,4,3,30,2,3,3,4,2,2,1,0
3,74,3,3,8900,2,2,3,2,2,4,67,1,1,1,4,2,2,1,0
3,69,1,0,7875,2,4,3,3,3,1,49,2,3,3,4,1,1,0,0
1,96,1,10,7400,2,4,3,1,1,2,83,1,3,1,2,2,1,1,0
4,46,1,9,4325,2,1,4,1,1,3,38,2,2,2,1,2,1,1,0
4,5,4,0,1425,4,2,2,2,4,2,64,3,3,2,1,1,2,1,0
2,78,2,9,4200,5,1,3,1,3,3,25,2,2,4,1,2,2,1,0
3,58,4,4,5300,4,5,4,3,1,1,70,1,2,1,2,1,1,0,0
2,35,0,5,3175,5,1,2,2,2,1,59,2,1,3,4,1,2,1,0
1,90,2,2,6300,1,2,1,2,3,3,64,1,2,1,3,2,1,0,0
4,49,2,5,7400,1,2,3,1,3,1,49,3,3,3,4,1,2,1,0
3,12,1,3,6200,5,4,3,3,1,2,44,3,2,2,1,1,1,0,0
3,62,0,7,5525,3,4,1,3,1,2,36,3,2,2,4,1,2,0,0
2,24,2,0,8350,1,2,2,2,2,3,30,1,1,1,4,2,1,1,0
2,42,1,8,5425,4,4,1,1,4,1,24,2,3,2,2,2,1,0,0
1,8,2,10,8750,3,3,1,3,3,3,54,3,1,4,3,2,2,1,0
2,82,1,4,5525,5,1,4,3,4,3,83,2,1,4,2,1,2,0,0
2,2,2,2,9325,4,4,1,3,3,4,29,3,3,3,2,2,1,1,0
2,58,1,7,9000,2,5,4,3,3,1,63,1,1,4,4,1,1,0,0
2,51,3,1,850,2,5,2,2,2,2,81,2,1,2,1,1,1,0,0
3,31,2,6,8250,3,4,3,2,2,1,62,1,2,3,3,1,1,0,0
3,25,1,8,1025,3,5,2,3,4,4,54,2,2,4,4,2,1,1,0
1,9,3,4,5300,5,3,2,1,3,1,83,3,3,2,3,1,1,1,0
1,72,0,6,9075,1,4,2,1,3,3,59,2,2,4,1,2,2,1,0
4,88,1,9,7675,3,3,4,3,1,1,52,3,1,2,4,1,2,1,0
3,76,2,5,9600,4,4,2,1,1,4,54,1,1,3,3,2,2,0,0
1,38,4,0,5200,1,4,3,3,1,4,42,2,3,4,1,2,2,1,0
2,43,4,1,3300,4,1,1,2,1,4,69,2,3,3,1,2,1,0,0
1,57,1,4,7600,3,2,3,1,1,1,76,2,1,2,1,2,1,1,0
3,20,2,1,5025,2,1,1,2,3,4,31,1,1,1,3,1,2,1,0
1,63,1,7,3250,2,1,4,1,3,1,37,3,2,3,1,2,2,0,0
2,66,3,8,9700,3,5,3,3,1,1,62,3,1,4,3,2,1,0,0
4,38,0,4,7025,3,1,4,1,4,1,25,2,1,3,2,1,2,0,0
4,78,4,4,5075,1,5,2,3,1,4,61,1,1,1,3,2,1,0,0
4,29,4,10,5425,1,3,3,3,4,4,20,1,2,3,3,2,1,0,0
3,50,0,10,5675,4,1,1,1,1,2,35,3,2,2,1,2,2,1,0
2,25,2,6,3525,1,2,1,2,4,2,53,3,3,2,4,2,2,1,0
4,23,0,8,4875,5,4,3,1,3,2,76,1,2,1,3,1,2,1,0
4,69,1,4,5750,3,1,1,1,3,4,61,1,3,1,1,2,1,1,0
3,85,0,10,2700,2,1,4,2,3,2,71,2,1,4,2,2,1,0,0
4,71,4,1,2400,5,2,1,2,4,1,33,3,2,1,3,1,2,1,0
3,58,4,6,1225,5,5,4,2,3,4,20,3,3,4,1,1,2,1,0
4,35,2,10,2175,1,5,4,2,2,4,24,2,3,1,4,2,2,1,0
4,23,3,8,5625,4,2,4,2,1,1,64,2,3,4,1,1,2,0,0
1,72,3,7,8250,4,1,3,3,1,3,51,2,1,4,1,1,1,1,0
1,45,2,7,4575,1,3,1,2,1,1,23,1,3,1,3,2,2,1,0
4,9,4,8,1850,3,2,4,3,4,1,82,2,2,3,1,1,2,0,0
2,40,2,4,9725,1,3,3,3,2,2,31,2,2,1,2,1,1,0,0
1,40,4,8,6275,1,4,4,3,2,4,81,2,2,2,4,1,1,0,0
3,95,2,2,5150,2,5,4,3,2,4,56,3,1,4,1,1,1,1,0
4,60,0,6,4125,4,1,4,3,2,1,68,2,3,3,3,1,1,1,0
1,7,1,4,1275,1,2,4,1,2,1,79,2,3,4,4,1,2,0,0
4,73,2,2,8300,1,4,4,3,2,3,53,3,1,3,1,2,2,0,0
4,92,0,1,200,4,2,3,2,4,4,66,1,1,1,3,2,1,0,0
2,28,3,3,3725,5,2,3,3,1,1,54,2,1,2,3,1,2,1,0
3,17,3,6,4225,3,5,2,2,4,1,66,1,3,2,2,2,1,1,0
2,31,4,7,7175,2,3,2,3,3,3,33,1,2,4,4,1,1,1,0
4,23,3,0,800,2,1,2,1,3,3,83,3,1,4,1,1,1,1,0
1,55,0,1,125,4,4,3,3,4,4,76,3,1,2,3,1,1,0,0
1,14,3,6,4550,1,5,4,1,3,4,23,1,1,4,4,2,2,0,0
3,19,4,8,4800,4,5,1,2,1,2,32,2,2,4,3,1,2,0,0
2,96,4,1,5575,4,2,1,1,4,4,32,3,1,1,2,1,1,1,0
3,17,4,9,2750,1,3,4,1,1,1,72,3,2,4,3,2,2,0,0
3,44,1,9,3325,2,4,1,3,2,4,79,2,1,1,1,1,2,0,0
3,2,3,2,9600,2,4,3,3,3,1,85,2,1,2,3,2,2,1,0
1,22,0,3,850,3,1,2,1,1,1,81,2,1,2,3,2,1,0,0
3,4,4,6,4750,5,5,1,1,3,4,37,1,1,1,1,1,2,1,0
3,30,0,8,3575,5,4,3,3,3,4,35,1,3,4,2,2,2,1,0
3,28,1,2,9350,1,5,4,2,2,4,40,3,3,2,3,1,2,0,0
2,39,2,4,8100,3,4,4,3,4,3,18,2,2,1,4,2,2,0,0
3,47,4,0,8875,2,3,2,1,1,1,33,3,1,2,1,2,1,0,0
3,85,1,2,3925,5,3,2,3,2,2,40,1,1,4,1,1,1,1,0
2,82,3,10,3125,5,3,2,1,1,3,38,3,2,4,2,1,2,1,0
2,79,4,7,9575,3,2,4,2,4,1,78,1,1,3,1,1,1,0,0
3,72,1,8,3000,4,1,4,2,1,1,47,1,2,4,2,2,1,0,0
2,27,4,9,9450,3,2,1,3,2,3,36,3,3,4,4,1,2,0,0
4,85,1,7,8600,4,4,3,2,4,2,57,2,1,3,1,1,2,0,0
2,99,1,4,6875,1,5,3,1,4,2,67,3,3,1,2,1,2,1,0
4,53,1,3,6050,5,3,3,2,2,1,28,1,1,1,2,2,1,0,0
1,21,3,1,8425,5,1,2,2,2,3,34,2,1,1,3,2,2,1,0
4,93,4,10,550,4,2,3,2,3,1,80,3,3,4,2,2,2,1,0
3,21,4,6,1175,4,5,2,2,1,3,48,3,2,1,3,1,2,0,0
3,97,4,6,875,2,2,1,1,3,1,31,2,3,1,1,1,2,0,0
3,76,3,10,3450,4,2,2,2,2,2,28,2,1,2,1,2,2,0,0
3,93,0,2,3000,3,1,4,2,1,3,54,3,1,1,1,1,1,0,0
2,28,2,10,8050,2,5,2,1,4,2,51,2,2,3,1,1,1,0,0
3,12,2,7,9300,4,2,1,3,2,2,60,1,3,3,3,1,1,1,0
3,18,2,8,8050,5,3,2,3,3,3,50,3,2,3,1,2,1,0,0
2,95,3,3,775,5,3,4,1,1,2,58,3,2,1,3,2,1,1,0
2,57,0,8,5250,4,1,3,2,3,2,48,3,1,4,2,1,1,0,0
2,65,0,6,2975,4,5,2,2,1,3,56,3,3,4,2,1,1,0,0
2,30,4,5,1500,3,4,2,1,2,4,44,1,3,4,3,2,2,1,0
3,49,0,3,5125,3,1,4,1,2,2,22,2,3,1,4,2,2,0,0
4,96,0,10,5000,3,3,3,3,3,4,23,2,2,3,2,2,2,1,0
3,21,4,9,2000,2,3,2,3,1,1,61,3,1,1,3,1,1,0,0
3,22,0,4,7200,2,1,3,2,4,3,57,2,1,3,4,1,2,0,0
2,81,3,2,5825,2,4,1,2,2,1,70,3,2,1,2,1,1,1,0
2,30,1,7,9275,3,1,3,1,3,4,32,3,2,4,3,1,1,1,0
3,93,2,9,9025,3,2,3,1,4,4,84,3,2,2,1,2,1,0,0
4,66,0,9,2150,5,5,3,1,3,2,80,2,1,1,2,1,2,1,0
2,6,0,5,9325,2,3,1,1,1,4,56,1,1,2,2,1,2,1,0
3,61,1,4,8800,2,4,4,3,3,1,79,2,2,2,3,2,2,1,0
1,79,2,8,9200,1,2,4,1,4,1,63,1,3,4,1,2,1,1,0
2,92,4,7,9150,2,3,4,2,3,2,72,3,3,1,2,1,1,0,0
4,42,3,3,1200,4,2,3,3,4,4,19,2,2,3,1,1,2,1,0
4,97,4,4,9850,4,5,4,3,2,1,46,2,3,1,3,1,1,1,0
1,50,3,0,6975,3,1,4,3,2,4,80,2,2,4,2,1,2,0,0
3,10,1,6,9200,3,3,2,3,1,3,44,3,1,4,4,2,2,0,0
4,62,2,8,2700,1,5,1,3,2,4,46,2,1,2,2,1,1,1,0
2,73,3,2,9750,2,1,2,2,4,1,71,3,1,3,2,2,1,0,0
3,8,0,2,7175,5,2,2,3,3,3,41,3,3,2,1,2,1,1,0
3,2,1,10,4925,3,4,1,1,4,2,26,2,1,3,1,1,2,1,0
4,47,1,10,3300,5,3,2,1,2,4,81,1,3,4,2,2,2,1,0
2,56,2,5,5375,2,5,3,3,1,1,28,1,1,2,3,1,1,1,0
3,32,4,7,1375,4,3,4,2,1,1,64,1,3,4,4,2,2,1,0
4,17,2,10,4600,1,3,4,1,3,1,60,2,3,3,3,1,2,1,0
3,50,2,3,5225,2,5,3,3,3,3,59,3,2,1,2,2,1,1,0
3,42,1,7,3525,4,4,3,3,4,4,85,1,1,4,4,1,1,1,0
1,84,1,9,8475,2,1,4,3,4,3,49,3,2,2,2,1,2,0,0
3,76,2,10,3525,3,4,1,2,3,2,63,2,1,3,4,2,2,0,0
3,75,2,1,6250,4,4,3,1,4,4,67,3,3,3,4,1,2,0,0
4,33,2,8,10000,5,1,1,2,1,2,49,2,3,2,4,1,1,1,0
4,78,1,8,7575,1,5,1,3,4,3,54,2,2,1,2,2,2,0,0
3,39,1,6,1400,5,5,1,3,3,3,60,3,3,1,2,2,1,0,0
4,29,0,3,6800,3,3,1,1,3,3,57,3,3,1,4,2,1,1,0
3,55,1,4,3175,4,3,1,2,1,3,74,3,3,4,2,2,1,0,0
4,87,4,4,4925,3,5,1,1,4,3,22,1,2,3,4,1,2,0,0
1,61,4,2,7075,1,2,3,3,4,2,46,2,2,4,1,1,1,1,0
4,44,4,1,5975,1,1,2,3,3,3,79,2,1,3,2,2,2,1,0
3,46,4,6,2525,1,2,4,1,3,4,64,2,1,4,2,1,2,1,0
1,82,1,8,8075,4,5,2,3,1,3,35,2,3,3,1,2,2,1,0
3,26,0,2,9800,1,5,4,2,2,3,28,3,3,4,1,2,1,1,0
1,27,0,4,4475,2,5,1,3,1,1,66,1,2,2,4,2,2,1,0
4,2,3,5,650,2,1,4,1,2,4,78,2,3,3,2,2,2,0,0
2,17,3,7,125,5,5,3,1,1,4,57,3,3,4,2,2,2,0,0
3,98,2,9,3525,2,1,3,3,1,2,69,2,3,1,4,2,2,1,0
1,84,0,5,3400,3,5,4,3,2,1,54,2,3,2,1,1,2,0,0
2,91,3,8,1250,2,3,3,3,2,2,19,1,3,3,1,1,1,1,0
2,32,3,4,725,2,5,1,1,4,2,40,1,3,4,3,1,2,0,0
3,33,1,7,6025,1,3,4,2,4,2,67,1,1,2,4,2,2,1,0
2,4,3,4,1525,2,2,3,1,4,1,53,3,3,2,2,2,2,1,0
1,96,2,7,9775,5,5,1,1,1,4,61,3,2,3,1,1,2,0,0
2,89,2,6,7175,5,5,4,2,4,3,27,1,2,4,3,2,2,0,0
3,23,3,5,9700,1,3,1,1,4,3,28,3,3,1,1,2,1,0,0
3,60,2,5,1875,2,1,3,1,4,4,66,2,1,4,2,1,1,0,0
1,96,1,8,5150,4,2,3,2,4,1,72,2,1,3,3,2,2,0,0
3,30,3,7,3850,3,2,4,2,1,1,72,2,2,2,1,1,1,0,0
4,59,1,1,225,2,1,4,2,1,1,28,1,3,2,2,1,2,1,0
4,12,0,9,2650,4,5,2,3,2,3,68,1,1,4,1,1,1,1,0
4,10,2,3,2575,3,5,3,2,1,3,52,2,3,3,4,2,1,1,0
1,99,4,0,2550,5,4,4,2,4,3,78,3,1,2,4,1,1,0,0
3,89,1,3,3300,3,2,1,2,3,1,74,3,1,4,4,2,1,0,0
2,2,4,3,7575,1,5,1,2,4,2,70,1,1,4,1,1,1,1,0
1,56,1,4,8100,1,3,2,3,4,4,51,1,2,4,3,2,2,1,0
1,93,4,9,6500,2,4,1,1,2,3,31,2,2,3,4,2,1,1,0
1,47,3,6,375,3,3,1,2,1,4,64,2,3,2,4,1,2,0,0
3,37,2,0,9550,2,4,4,2,3,3,48,2,3,1,3,2,2,0,0
4,5,0,1,4750,3,5,3,2,1,4,35,2,3,4,2,1,1,0,0
4,36,3,10,6025,1,3,4,1,3,2,41,3,1,3,2,2,2,0,0
2,27,3,10,975,5,5,4,2,2,1,77,1,2,3,2,1,2,0,0
3,85,1,6,7475,5,5,3,3,3,3,82,2,3,3,4,2,1,0,0
4,87,1,10,5975,2,4,2,3,1,3,52,1,1,4,2,2,1,1,0
3,91,0,5,7325,3,2,3,3,4,3,46,1,1,4,1,2,1,0,0
4,73,2,3,6275,2,1,3,2,2,1,50,1,2,2,2,2,2,1,0
1,89,2,4,5275,2,5,3,1,2,3,22,2,2,3,4,2,1,1,0
2,38,3,1,925,3,5,1,1,1,1,69,3,3,2,3,2,2,1,0
1,84,4,1,250,3,3,4,3,2,3,28,3,3,2,2,1,2,0,0
2,76,4,9,3125,1,2,3,3,3,1,62,1,3,1,1,1,1,1,0
1,35,0,3,6200,4,1,3,2,3,1,59,1,3,2,3,2,1,0,0
2,29,3,5,1875,3,2,2,2,3,4,69,1,3,2,4,1,1,1,0
2,21,4,2,2025,2,2,2,2,1,1,47,1,3,2,1,1,2,1,0
4,97,4,8,5675,2,5,4,1,3,2,58,2,1,4,2,1,1,1,0
4,61,0,1,1750,2,4,3,1,3,1,72,3,3,2,1,1,2,0,0
4,25,4,5,2550,5,4,4,3,4,4,80,2,3,2,4,1,1,1,0
2,69,1,10,4925,2,3,1,2,3,4,42,1,2,4,3,1,2,0,0
2,70,4,7,6175,4,3,4,2,3,1,72,1,1,1,1,2,2,0,0
2,44,2,8,4500,5,5,1,3,1,4,78,2,3,4,3,2,1,0,0
4,66,2,9,8150,5,5,3,1,4,1,28,1,2,1,3,2,2,1,0
3,10,4,1,4175,2,5,2,3,2,3,34,2,3,2,3,2,1,1,0
4,81,3,4,5025,2,5,2,3,2,4,22,2,2,3,1,1,1,0,0
1,30,0,8,2975,4,1,3,1,3,4,29,1,3,4,4,2,1,1,0
1,29,1,7,9450,5,1,3,3,3,3,21,2,3,4,4,2,2,1,0
1,100,3,3,7900,4,5,3,1,4,4,70,1,1,2,3,2,1,0,0
4,97,2,10,8650,2,5,4,2,2,2,41,2,2,1,2,1,2,1,0
3,19,4,10,3500,3,2,3,3,2,4,43,2,1,1,1,2,2,0,0
3,23,3,8,6200,4,2,4,1,4,4,52,3,1,1,2,2,2,0,0
4,30,1,2,8525,3,4,4,2,2,2,19,1,3,4,2,1,1,0,0
1,9,2,7,7925,1,3,2,1,1,1,72,1,3,3,4,1,1,0,0
3,44,0,10,3950,3,4,2,1,2,4,26,1,2,3,4,1,2,0,0
1,6,2,7,5250,5,4,1,3,3,3,73,2,3,2,4,2,1,1,0
1,46,0,7,3175,1,2,3,3,4,1,34,2,2,2,2,1,1,0,0
1,59,3,3,3475,2,3,2,1,1,2,63,2,3,1,2,1,2,0,0
3,56,4,0,9125,2,4,1,3,3,1,46,1,1,3,4,1,2,1,0
1,8,3,7,1175,4,3,1,2,4,3,54,2,2,1,3,1,1,1,0
3,26,1,5,8275,4,5,3,2,1,1,23,3,2,4,3,2,1,1,0
4,86,0,5,1050,1,5,3,3,4,1,69,3,2,4,4,2,1,1,0
2,31,1,2,8625,2,1,3,2,2,1,43,2,1,4,3,2,2,1,0
1,61,1,1,1375,1,3,1,2,4,4,78,2,2,2,1,2,2,1,0
1,48,0,6,1675,1,3,2,1,4,4,75,1,2,1,3,1,1,1,0
1,69,1,10,7100,5,2,4,1,1,4,19,2,1,2,1,1,1,1,0
3,25,4,7,2100,4,2,2,3,1,2,77,1,2,1,1,2,2,0,0
3,35,4,2,6625,2,2,3,3,2,3,64,1,1,4,3,2,2,1,0
2,66,2,9,2400,2,4,2,3,4,4,50,3,1,2,2,2,1,1,0
4,7,3,0,8025,1,3,1,2,2,1,43,2,2,4,3,2,1,1,0
4,83,0,5,9500,3,2,4,1,2,3,31,3,2,3,3,2,1,0,0
3,4,4,2,8625,1,4,3,1,1,4,46,2,3,4,1,2,2,1,0
1,33,4,1,650,3,5,1,2,2,2,72,2,3,3,3,1,1,0,0
1,71,2,10,5550,1,4,4,1,3,4,22,3,2,1,3,2,2,0,0
2,94,0,4,8200,4,2,1,2,4,4,19,1,1,3,2,2,2,0,0
2,74,1,2,575,5,3,1,2,2,2,35,1,3,1,3,1,2,1,0
1,70,3,7,9375,4,3,1,3,4,2,30,1,2,1,2,2,2,0,0
2,72,2,7,4850,2,1,1,3,4,1,80,2,2,3,4,1,1,1,0
2,72,3,4,5025,2,2,2,3,3,4,73,1,3,3,3,2,1,0,0
2,56,3,6,9175,4,1,4,1,4,2,83,2,3,4,3,2,2,1,0
1,56,3,5,2550,4,4,1,2,1,3,56,2,3,3,2,2,2,1,0
3,22,4,9,9625,2,2,1,1,1,2,40,1,3,1,1,2,1,0,0
2,22,2,8,2100,4,2,1,1,3,2,62,1,3,1,4,1,2,0,0
2,95,4,4,4700,2,1,3,1,2,2,34,3,2,2,2,1,2,0,0
2,60,4,7,725,3,4,1,3,4,2,71,3,1,4,4,1,2,0,0
3,40,2,7,8750,1,5,2,3,1,3,27,3,1,3,3,1,2,1,0
3,61,0,5,9725,3,4,2,1,3,3,61,2,1,2,3,2,1,0,0
1,32,1,9,4850,1,1,1,1,4,4,76,3,2,1,2,1,2,1,0
4,87,3,0,3325,5,3,1,3,4,1,85,2,2,2,3,1,1,1,0
4,11,0,8,325,1,3,2,2,3,3,58,2,2,4,1,1,2,0,0
3,74,4,8,8325,1,2,1,2,2,1,60,3,3,2,4,1,2,0,0
4,17,2,10,8875,5,4,1,1,3,3,73,3,2,3,1,2,2,1,0
2,73,2,5,6075,1,2,3,3,1,2,50,2,2,1,1,1,1,1,0
2,6,0,9,4050,5,3,2,2,4,1,73,2,3,4,3,1,2,0,0
3,61,1,9,875,3,1,1,3,4,1,80,1,1,1,1,2,2,1,0
4,68,2,3,2975,3,1,1,3,2,1,71,1,2,2,1,1,1,1,0
3,29,4,3,8950,5,3,2,2,3,4,51,3,2,1,2,2,2,1,0
2,35,1,3,5100,1,2,1,3,3,1,74,2,2,3,1,2,2,1,0
2,39,3,6,3850,5,4,4,3,2,3,57,2,1,3,3,2,1,1,0
2,60,1,0,5600,3,4,4,2,2,1,28,2,1,1,2,2,2,1,0
4,77,0,10,4050,3,2,2,1,4,2,82,1,2,4,4,2,2,1,0
3,43,3,3,8275,4,3,2,2,4,3,28,3,1,2,1,1,1,0,0
3,20,1,9,9825,1,2,2,2,3,1,69,1,2,3,3,2,1,1,0
3,30,1,0,2050,3,1,3,1,2,2,47,1,1,3,2,1,2,0,0
1,39,0,3,4500,2,4,3,1,1,2,22,1,2,2,1,1,2,1,0
3,12,1,0,5325,4,5,4,2,4,4,30,3,2,2,4,2,2,0,0
1,95,0,9,5175,3,2,1,3,4,2,80,2,2,3,4,2,1,1,0
1,51,4,7,1075,3,3,3,3,3,3,55,3,2,3,4,1,2,1,0
1,53,1,6,475,1,1,3,1,1,1,62,3,3,3,3,2,1,1,0
4,95,3,8,3650,5,3,4,2,4,4,27,2,3,1,4,2,2,1,0
2,76,4,6,275,4,1,4,3,4,1,40,2,3,2,2,2,1,1,0
3,51,2,9,625,1,3,4,3,1,1,20,2,3,4,1,2,1,1,0
3,92,3,1,2525,1,3,3,1,2,1,61,1,1,4,3,2,1,1,0
2,66,0,8,7125,1,1,4,3,2,1,29,2,3,2,2,1,1,0,0
3,92,4,1,3050,4,4,4,1,1,1,59,1,2,3,3,2,1,1,0
4,59,3,3,9400,5,1,4,1,4,3,84,3,3,1,1,2,1,1,0
4,23,1,5,3775,3,2,1,1,2,4,36,2,1,3,3,2,2,0,0
3,87,4,9,4400,3,1,3,1,1,3,30,1,2,1,4,1,2,0,0
1,10,2,3,3725,5,4,3,1,2,4,49,1,2,2,4,1,2,1,0
1,24,3,2,5000,1,3,1,3,4,1,43,1,2,3,1,2,1,0,0
4,37,2,7,8100,3,3,3,2,1,3,42,2,1,3,1,2,1,0,0
1,51,2,2,6650,2,1,3,2,3,2,37,3,2,2,1,2,2,1,0
4,65,3,6,6600,3,1,3,1,2,4,76,3,1,4,1,2,2,0,0
3,21,2,2,525,2,3,1,2,3,2,77,1,2,1,4,2,1,0,0
2,60,4,7,7700,3,2,2,2,2,2,80,3,2,2,3,2,2,1,0
4,22,4,1,2750,2,3,4,1,2,4,47,3,3,3,1,2,2,1,0
2,87,1,8,4300,3,1,3,1,1,2,69,1,1,3,3,2,1,0,0
1,96,1,3,7800,1,4,3,1,3,2,41,2,3,4,4,1,1,1,0
2,55,3,5,5225,2,5,3,1,1,2,29,1,2,4,2,2,2,1,0
4,6,2,7,5250,4,5,1,1,2,1,43,2,2,3,2,2,1,0,0
3,60,0,10,2150,4,3,3,2,3,2,56,3,2,1,1,1,1,0,0
4,79,1,0,3825,5,4,1,3,2,4,20,2,2,4,4,2,2,0,0
2,22,4,10,2400,5,1,1,2,2,1,44,2,3,2,2,2,2,0,0
3,27,3,3,5400,4,4,1,2,3,3,42,2,2,1,4,1,1,1,0
2,79,2,3,1100,3,2,2,1,2,1,77,1,3,2,3,1,2,1,0
3,21,3,3,500,2,2,1,2,2,3,46,3,3,2,4,1,1,0,0
2,96,2,5,4550,4,2,3,3,1,2,72,3,3,4,3,2,2,1,0
4,100,0,0,1075,1,2,2,1,1,1,59,2,3,1,1,1,2,0,0
3,38,4,5,875,2,4,3,2,3,1,51,1,1,4,3,1,1,0,0
1,93,2,8,1700,4,5,3,3,3,3,47,2,1,2,4,1,2,1,0
3,11,2,4,7025,2,5,3,2,2,3,66,2,2,3,2,1,2,1,0
4,8,3,3,5375,1,2,3,2,2,3,69,3,1,2,4,1,1,0,0
3,75,0,1,8400,4,5,3,1,1,3,49,1,3,2,2,1,1,1,0
3,95,1,7,5200,5,4,4,1,1,4,61,2,2,2,1,2,1,0,0
1,51,1,4,6725,1,1,1,3,1,4,58,1,1,3,3,1,1,0,0
2,12,0,8,4225,5,5,4,1,3,2,31,3,3,4,2,1,2,0,0
4,97,3,7,7475,3,1,2,1,1,1,28,1,2,4,1,2,1,1,0
4,62,2,6,7250,1,5,3,1,3,1,41,2,3,1,1,2,2,0,0
1,73,2,8,7450,4,1,4,1,3,4,62,2,2,4,3,2,2,0,0
