id,answer,source,focus_area
78,"Schnitzler syndrome is a rare autoinflammatory condition. Signs and symptoms of the condition vary but may include urticaria; recurrent fevers; joint pain and inflammation; organomegaly (abnormally enlarged organs); and/or blood abnormalities. The exact underlying cause of the condition is unknown; however, most cases occur sporadically in people with no family history of the condition. Treatment is focused on alleviating the signs and symptoms associated with the condition and may include various medications and/or phototherapy.",GARD,Schnitzler syndrome
79,"Opsismodysplasia is a rare skeletal dysplasia characterized by congenital short stature and characteristic craniofacial abnormalities. Clinical signs observed at birth include short limbs, small hands and feet, relative macrocephaly with a large anterior fontanel (the space between the front bones of the skull), and characteristic craniofacial abnormalities including a prominent brow, depressed nasal bridge, a small anteverted nose, and a relatively long philtrum. Children with opsismodysplasia are at an increased risk for respiratory infections and respiratory failure. This condition is caused by mutations in the INPPL1 the gene. It is inherited in an autosomal recessive manner.",GARD,Opsismodysplasia
80,"How is long QT syndrome diagnosed? Long QT syndrome is diagnosed on the basis of electrocardiographic (EKG) findings, clinical findings such as congenital deafness or unexplained fainting, and family history of long QT syndrome or sudden cardiac death. Genetic testing is often performed in families in whom the diagnosis of long QT syndrome has been made or is suspected on clinical grounds.",GARD,Long QT syndrome
81,"How is 21-hydroxylase-deficient congenital adrenal hyperplasia passed through families? 21-hydroxylase-deficient congenital adrenal hyperplasia has an autosomal recessive pattern of inheritance. In autosomal recessive conditions, both parents carry one copy of a mutated gene for the disorder. They have a 25 percent chance with each pregnancy of having a child affected by the disorder. The chance with each pregnancy of having an unaffected child who is a carrier of the disorder is 50 percent, and the chance that a child will not have the disorder and will not be a carrier is 25 percent. See the illustration below.",GARD,21-hydroxylase deficiency
82,"What are the signs and symptoms of X-linked visceral heterotaxy 1? The Human Phenotype Ontology provides the following list of signs and symptoms for X-linked visceral heterotaxy 1. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abdominal situs inversus - Asplenia - Dextrocardia - Patent ductus arteriosus - Polysplenia - Pulmonic stenosis - Ventricular septal defect - X-linked inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,X-linked visceral heterotaxy 1
83,"How might Kyrle disease be treated? Kyrle disease is most often associated with a systemic disorder, although idiopathic cases without any associated disease have occurred. Therefore, treatment is typically directed toward the underlying condition when appropriate. For individuals in whom itching is a major problem, soothing antipruritic lotions containing menthol and camphor may be helpful. Sedating antihistamines such as hydroxyzine may also be helpful for pruritus, especially at night. Some improvement has been reported with high doses of vitamin A, with or without vitamin E. Topical retinoic acid cream may also improve the symptoms. Another approach to treatment uses oral retinoids, which resulted in alleviation of symptoms in one study. Etretinate in high doses is also reportedly effective, but relapse has been reported following discontinuation of therapy. UV light therapy is reportedly particularly helpful for individuals with widespread lesions or coexisting pruritus from renal or hepatic disease. Carbon dioxide laser or cryosurgery may be helpful for limited lesions, but caution may be recommended for individuals with dark skin, especially with cryosurgery, and for lesions on the lower legs, particularly in patients with diabetes mellitus or poor circulation.",GARD,Kyrle disease
84,"What are the signs and symptoms of Femur fibula ulna syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Femur fibula ulna syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the femur 90% Abnormality of the ulna 90% Aplasia/Hypoplasia of the radius 90% Finger syndactyly 90% Micromelia 90% Split hand 90% Abnormality of the elbow 50% Short stature 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Femur fibula ulna syndrome
85,"What are the signs and symptoms of Blepharospasm? The Human Phenotype Ontology provides the following list of signs and symptoms for Blepharospasm. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Blepharospasm - Middle age onset - Sporadic - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Blepharospasm
86,"What are the signs and symptoms of Denys-Drash syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Denys-Drash syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Male pseudohermaphroditism 90% Nephroblastoma (Wilms tumor) 90% Nephropathy 90% Nephrotic syndrome 90% Proteinuria 90% Hypertension 50% Gonadal dysgenesis 7.5% Ambiguous genitalia, female - Ambiguous genitalia, male - Autosomal dominant inheritance - Congenital diaphragmatic hernia - Diffuse mesangial sclerosis - Focal segmental glomerulosclerosis - Gonadal tissue inappropriate for external genitalia or chromosomal sex - Ovarian gonadoblastoma - Somatic mutation - Stage 5 chronic kidney disease - True hermaphroditism - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Denys-Drash syndrome
87,"Chromosome 2q deletion is a chromosome abnormality that occurs when there is a missing copy of the genetic material located on the long arm (q) of chromosome 2. The severity of the condition and the signs and symptoms depend on the size and location of the deletion and which genes are involved. Features that often occur in people with chromosome 2q deletion include developmental delay, intellectual disability, behavioral problems, and distinctive facial features. Most cases are not inherited, but people can pass the deletion on to their children. Treatment is based on the signs and symptoms present in each person.",GARD,Chromosome 2q deletion
88,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment of Ascaris infections. Infections are generally treated for 1-3 days. The drugs are effective and appear to have few side effects.
    
More on: Resources for Health Professionals: Treatment",CDC,Parasites - Ascariasis
89,"A lice-killing lotion containing 1% permethrin or a mousse containing pyrethrins and piperonyl butoxide can be used to treat pubic (""crab"") lice. These products are available over-the-counter without a prescription at a local drug store or pharmacy. These medications are safe and effective when used exactly according to the instructions in the package or on the label. 
    
Lindane shampoo is a prescription medication that can kill lice and lice eggs. However, lindane is not recommended as a first-line therapy. Lindane can be toxic to the brain and other parts of the nervous system; its use should be restricted to patients who have failed treatment with or cannot tolerate other medications that pose less risk. Lindane should not be used to treat premature infants, persons with a seizure disorder, women who are pregnant or breast-feeding, persons who have very irritated skin or sores where the lindane will be applied, infants, children, the elderly, and persons who weigh less than 110 pounds. 
    
Malathion* lotion 0.5% (Ovide*) is a prescription medication that can kill lice and some lice eggs; however, malathion lotion (Ovide*) currently has not been approved by the U.S. Food and Drug Administration (FDA) for treatment of pubic (""crab"") lice. 
    
Both topical and oral ivermectin have been used successfully to treat lice; however, only topical ivermectin lotion currently is approved by the U.S. Food and Drug Administration (FDA) for treatment of lice. Oral ivermectin is not FDA-approved for treatment of lice. 
    
How to treat pubic lice infestations: (Warning: See special instructions for treatment of lice and nits on eyebrows or eyelashes. The lice medications described in this section should not be used near the eyes.) 
    
   
   
    
    - Wash the infested area; towel dry. 
    - Carefully follow the instructions in the package or on the label. Thoroughly saturate the pubic hair and other infested areas with lice medication. Leave medication on hair for the time recommended in the instructions. After waiting the recommended time, remove the medication by following carefully the instructions on the label or in the box. 
    - Following treatment, most nits will still be attached to hair shafts. Nits may be removed with fingernails or by using a fine-toothed comb. 
    - Put on clean underwear and clothing after treatment. 
    - To kill any lice or nits remaining on clothing, towels, or bedding, machine-wash and machine-dry those items that the infested person used during the 2–3 days before treatment. Use hot water (at least 130°F) and the hot dryer cycle. 
    - Items that cannot be laundered can be dry-cleaned or stored in a sealed plastic bag for 2 weeks. 
    - All sex partners from within the previous month should be informed that they are at risk for infestation and should be treated. 
    - Persons should avoid sexual contact with their sex partner(s) until both they and their partners have been successfully treated and reevaluated to rule out persistent infestation. 
    - Repeat treatment in 9–10 days if live lice are still found. 
    - Persons with pubic lice should be evaluated for other sexually transmitted diseases (STDs). 
    
   
Special instructions for treatment of lice and nits found on eyebrows or eyelashes: 
    
    - If only a few live lice and nits are present, it may be possible to remove these with fingernails or a nit comb. 
    - If additional treatment is needed for lice or nits on the eyelashes, careful application of ophthalmic-grade petrolatum ointment (only available by prescription) to the eyelid margins 2–4 times a day for 10 days is effective. Regular petrolatum (e.g., Vaseline)* should not be used because it can irritate the eyes if applied. 
    
   
*Use of trade names is for identification purposes only and does not imply endorsement by the Public Health Service or by the U.S. Department of Health and Human Services. 
    
   
This information is not meant to be used for self-diagnosis or as a substitute for consultation with a health care provider. If you have any questions about the parasites described above or think that you may have a parasitic infection, consult a health care provider.",CDC,"Parasites - Lice - Pubic ""Crab"" Lice"
90,"Risk Factors
    
The people most likely to be infected with pinworm are children under 18, people who take care of infected children and people who are institutionalized. In these groups, the prevalence can reach 50%.
    
Pinworm is the most common worm infection in the United States. Humans are the only species that can transfer this parasite. Household pets like dogs and cats cannot become infected with human pinworms. Pinworm eggs can survive in the indoor environment for 2 to 3 weeks.
    Epidemiology
    
Pinworm infections are more common within families with school-aged children, in primary caregivers of infected children, and in institutionalized children.
    
A person is infected with pinworms by ingesting pinworm eggs either directly or indirectly. These eggs are deposited around the anus by the worm and can be carried to common surfaces such as hands, toys, bedding, clothing, and toilet seats. By putting anyone’s contaminated hands (including one’s own) around the mouth area or putting one’s mouth on common contaminated surfaces, a person can ingest pinworm eggs and become infected with the pinworm parasite. Since pinworm eggs are so small, it is possible to ingest them while breathing.
    
Once someone has ingested pinworm eggs, there is an incubation period of 1 to 2 months or longer for the adult gravid female to mature in the small intestine. Once mature, the adult female worm migrates to the colon and lays eggs around the anus at night, when many of their hosts are asleep. People who are infected with pinworm can transfer the parasite to others for as long as there is a female pinworm depositing eggs on the perianal skin. A person can also re-infect themselves, or be re-infected by eggs from another person.",CDC,Parasites - Enterobiasis (also known as Pinworm Infection)
91,"Angiostrongylus cantonensis
    
Angiostrongylus cantonensis, also known as the rat lungworm, is a parasitic nematode (worm) that is transmitted between rats and mollusks (such as slugs or snails) in its natural life cycle. Other animals that become infected such as freshwater shrimp, land crabs, frogs, and planarians of the genus Platydemus, are transport hosts that are not required for reproduction of the parasite but might be able to transmit infection to humans if eaten raw or undercooked. Humans are accidental hosts who do not transmit infection to others. Most cases of infection are diagnosed in Southeast Asia and the Pacific Basin, but the parasite has also been found in Australia, some areas of Africa, the Caribbean, Hawaii and Louisiana. Outbreaks of human angiostrongyliasis have involved a few to hundreds of persons; over 2,800 cases have been reported in the literature from approximately 30 countries. It is likely that the parasite has been spread by rats transported on ships and by the introduction of mollusks such as the giant African land snail (Achatina fulica). In addition, the semi-slug, Parmarion martensi (native of Southeast Asia)has spread in regions of Hawaii and is found to often be infected with A. cantonensis, and the freshwater snail Pomacea canaliculata (native of South America) has been introduced into Taiwan and China and has been implicated in outbreaks of disease in those countries.
    
Risk factors for infection with A. cantonensis include the ingestion of raw or undercooked infected snails or slugs; or pieces of snails and slugs accidentally chopped up in vegetables, vegetable juices, or salads; or foods contaminated by the slime of infected snails or slugs. It is possible that ingestion of raw or undercooked transport hosts (freshwater shrimp, land crabs, frogs, etc. ) can result in human infection, though this is less certain. In addition, contamination of the hands during the preparation of uncooked infected snails or slugs could lead to ingestion of the parasite.
    
     
    Angiostrongylus costaricensis
    
Angiostrongylus costaricensis is a parasitic nematode (worm) that resides in rodents and uses mollusks, such as slugs, as an intermediate host. Rats, such as the cotton rat, transmit the larvae through their feces. Slugs then ingest the larvae. Humans are accidental hosts of the parasite. The parasite is not able to complete its life cycle in humans and eventually dies in the abdomen. Human infection principally occurs in Latin America and the Caribbean, with a few cases suspected in the United States and in the Republic of Congo. The organism is also found in animals in the Southern U.S. (Texas).
    
Risk factors for infection with A. costaricensis are not well established but are likely to be ingestion of infected slugs or raw vegetables or vegetable juices contaminated with slugs or their slime, which can contain A. costaricensis larvae. The infection of transport hosts, which are not essential to the lifecycle of the parasite, has not been identified and any role in human infection is not known, in contrast to A. cantonensis. Some reports have shown the case rate to be higher in children 6 to 12 years of age, males, and in persons of higher socioeconomic status. There has been one food-related outbreak in Guatemala that affected primarily adults.",CDC,Parasites - Angiostrongyliasis (also known as Angiostrongylus Infection)
92,"Due to the small number of HPS cases, the ""incubation time"" is not positively known. However, on the basis of limited information, it appears that symptoms may develop between 1 and 5 weeks after exposure to fresh urine, droppings, or saliva of infected rodents.
  Early Symptoms
  
    
   
Early symptoms include fatigue, fever and muscle aches, especially in the large muscle groups—thighs, hips, back, and sometimes shoulders. These symptoms are universal.
   
There may also be headaches, dizziness, chills, and abdominal problems, such as nausea, vomiting, diarrhea, and abdominal pain. About half of all HPS patients experience these symptoms.
  
  Late Symptoms
  
    
   
Four to 10 days after the initial phase of illness, the late symptoms of HPS appear. These include coughing and shortness of breath, with the sensation of, as one survivor put it, a ""...tight band around my chest and a pillow over my face"" as the lungs fill with fluid.
  
  Is the Disease Fatal?
  
Yes. HPS can be fatal. It has a mortality rate of 38%.",CDC,Hantavirus
93,"A body lice infestation is treated by improving the personal hygiene of the infested person, including assuring a regular (at least weekly) change of clean clothes. Clothing, bedding, and towels used by the infested person should be laundered using hot water (at least 130°F) and machine dried using the hot cycle.
    
Sometimes the infested person also is treated with a pediculicide, a medicine that can kill lice; however, a pediculicide generally is not necessary if hygiene is maintained and items are laundered appropriately at least once a week. A pediculicide should be applied exactly as directed on the bottle or by your physician.
    
If you choose to treat, guidelines for the choice of the pediculicide are the same as for head lice.
    
More on: Head Lice Treatment",CDC,Parasites - Lice - Body Lice
94,"Marine toxins are naturally occurring chemicals that can contaminate certain seafood. The seafood contaminated with these chemicals frequently looks, smells, and tastes normal. When humans eat such seafood, disease can result.",CDC,Marine Toxins
95,"Supportive therapy is important in CHHF. This includes: 
    
    - maintenance of hydration 
    - management of shock 
    - sedation 
    - pain relief 
    - usual precautions for patients with bleeding disorders 
    - transfusions (when necessary) 
    
   
Use of convalescent plasma therapy for treatment of AHF reduces mortality significantly and anecdotal evidence shows that the antiviral drug ribavirin may also hold promise for treating AHF. Ribavirin has also been considered for preventing development of disease in people exposed to other arenaviruses. 
   Recovery 
   
The precise mortality of CHHF is unknown and the only described case was fatal. 
   
Patients who have suffered from other arenaviruses may continue to excrete virus in urine or semen for weeks after recovery. For this reason, these fluids should be monitored for infectivity, since convalescent patients have the potential to infect others (particularly sexual partners) via these fluids.",CDC,Chapare Hemorrhagic Fever (CHHF)
96,"There are many different species of hookworms, some are human parasites and some are animal parasites. People can be infected by larvae of animal hookworms, usually dog and cat hookworms. The most common result of animal hookworm infection is a skin condition called cutaneous larva migrans.",CDC,Parasites - Zoonotic Hookworm
97,"Effective treatments are available. People who do not have any symptoms or signs of babesiosis usually do not need to be treated.
    
Before considering treatment, the first step is to make sure the diagnosis is correct.
    
For more information, people should talk to their health care provider.
    
More on: Resources for Health Professionals: Treatment",CDC,Parasites - Babesiosis
98,"To prevent cysticercosis, the following precautions should be taken:
    
     - Wash your hands with soap and warm water after using the toilet, changing diapers, and before handling food
     - Teach children the importance of washing hands to prevent infection
     - Wash and peel all raw vegetables and fruits before eating
     - Use good food and water safety practices while traveling in developing countries such as: 
      
       - Drink only bottled or boiled (1 minute) water or carbonated (bubbly) drinks in cans or bottles
       - Filter unsafe water through an ""absolute 1 micron or less"" filter AND dissolve iodine tablets in the filtered water; ""absolute 1 micron"" filters can be found in camping and outdoor supply stores
      
    
    
More on: Handwashing
    
More on: Food and Water Safety",CDC,Parasites - Cysticercosis
99,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment. Infections are generally treated for 3 days. The recommended medications are effective. Health care providers may decide to repeat a stool exam after treatment. Iron supplements may also be prescribed if the infected person suffers from anemia.
    
More on: Resources for Health Professionals: Treatment",CDC,Parasites - Trichuriasis (also known as Whipworm Infection)
100,Frequently Asked Queestions (FAQs),CDC,Parasites - African Trypanosomiasis (also known as Sleeping Sickness)
101,"Baylisascaris infection can be prevented by avoiding contact with raccoons and their feces. Washing your hands after working or playing outdoors is good practice for preventing a number of diseases.
    
Do not keep, feed, or adopt wild animals, including raccoons, as pets. Infection rarely causes symptoms in raccoons, so you cannot tell if a raccoon is infected by observing its behavior. Roundworm eggs passed in the feces of infected raccoons are not visible to the naked eye. Eggs can only be seen using a microscope.
    
     
    
    
You may discourage raccoons from living in and around your home or parks by taking these steps:
    
     - prevent access to food
     - keep trash containers tightly closed
     - close off access to attics and basements
     - keep sandboxes covered when not in use (raccoons may use sandboxes as a latrine)
     - remove fish ponds -- they eat the fish and drink the water
     - eliminate water sources
     - remove bird feeders
     - clear brush so raccoons are not likely to make a den on your property
    
    
Stay away from areas and materials that might be contaminated by raccoon feces. Raccoons typically defecate at the base of or in raised forks of trees, or on raised horizontal surfaces such as fallen logs, stumps, or large rocks. Raccoon feces also can be found on woodpiles, decks, rooftops, and in attics, garages, and haylofts. Feces usually are dark and tubular, have a pungent odor (usually worse than dog or cat feces), and often contain undigested seeds or other food items.
    
If you have found a raccoon latrine near your home, cleaning the area may prevent possible infection. Newly deposited eggs take at least 2-4 weeks to become infective. Prompt removal and destruction of raccoon feces will reduce risk for exposure and possible infection.
    
More on: Raccoon Latrine Clean-up [PDF, 111 KB, 1 page]
    
     
    
    
If you choose to clean the site yourself, care should be taken to avoid contaminating hands and clothes.
    
     - Wear disposable gloves to help prevent cross contamination.
     - Wear a N95-rated respirator if working in a confined space to prevent accidental ingestion of eggs or other harmful materials.
     - Avoid stirring up dust and debris- you can lightly mist the latrine area with a little water from a spray bottle to reduce the amount of dust.
     - Wear rubber boots that can be scrubbed or cover your shoes with disposable booties that can be thrown away, so that you do not bring eggs into your household.
     - Feces and material contaminated with raccoon feces should be removed and burned, buried, or sent to a landfill.
     - Most chemicals do not kill roundworm eggs; however, heat kills the eggs instantly.
     - Treat feces-soiled decks, patios, and other surfaces with boiling water or a propane torch (please contact your local fire department for regulations and safety practices).
    
    
To help further reduce the risk of possible infection, wash your hands well with soap and warm running water. Clean/launder your clothes thoroughly with hot water and detergent.
    
More on: Handwashing
    
If you are cleaning an indoor raccoon latrine and are not able to use a propane torch, use a damp (but not wet) sponge to wipe the area with hot soapy water. Rinse your sponge frequently. After you are finished, flush dirty water down the toilet. Place the sponge in a plastic bag and put the plastic bag in the garbage.
    
Contact your local animal control office for additional assistance.
    Dogs
    
Dogs may be infected with adult B. procyonis roundworms, but may not show symptoms. Have all pets de-wormed under a veterinarian's supervision and take precautions to avoid contact with their feces.
    Exotic pets
    
Raccoons and dogs are not the only hosts of Baylisascaris. B. procyonis infection has also been documented in kinkajous. Other animals such as coatis may be susceptible. When wild animals are kept as pets, there can be a risk of disease transmission to humans.",CDC,Parasites - Baylisascaris infection
102,"Frequently Asked Questions (FAQs)
    
Cystic echinococcosis (CE) disease results from being infected with the larval stage of Echinococcus granulosus, a tiny tapeworm (~2-7 millimeters in length) found in dogs (definitive host), sheep, cattle, goats, foxes, and pigs, amongst others (intermediate hosts). Most infections in humans are asymptomatic, but CE, also known as hydatid disease, causes slowly enlarging masses, most commonly in the liver and the lungs. Treatment can involve both medication and surgery.
    
More on: Cystic Echinococcosis (CE) FAQs
    
Alveolar echinococcosis (AE) disease results from being infected with the larval stage of Echinococcus multilocularis, a tiny tapeworm (~1-4 millimeters in length) found in foxes, coyotes, dogs, and cats (definitive hosts). Although human cases are rare, infection in humans causes parasitic tumors to form in the liver, and, less commonly, the lungs, brain, and other organs. If left untreated, infection with AE can be fatal.
    
More on: Alveolar Echinococcosis (AE) FAQs",CDC,Parasites - Echinococcosis
103,"Cystic echinococcosis is controlled by preventing transmission of the parasite. Prevention measures include limiting the areas where dogs are allowed and preventing animals from consuming meat infected with cysts.
    
     - Prevent dogs from feeding on the carcasses of infected sheep.
     - Control stray dog populations.
     - Restrict home slaughter of sheep and other livestock.
     - Do not consume any food or water that may have been contaminated by fecal matter from dogs.
     - Wash your hands with soap and warm water after handling dogs, and before handling food.
     - Teach children the importance of washing hands to prevent infection.
    
    
Alveolar echinococcosis can be prevented by avoiding contact with wild animals such as foxes, coyotes, and dogs and their fecal matter and by limiting the interactions between dogs and rodent populations.
    
     - Do not allow dogs to feed on rodents and other wild animals.
     - Avoid contact with wild animals such as foxes, coyotes and stray dogs.
     - Do not encourage wild animals to come close to your home or keep them as pets.
     - Wash your hands with soap and warm water after handling dogs or cats, and before handling food.
     - Teach children the importance of washing hands to prevent infection.
    
    
More on: Handwashing",CDC,Parasites - Echinococcosis
104,"In the United States, Q fever outbreaks have resulted mainly from occupational exposure involving veterinarians, meat processing plant workers, sheep and dairy workers, livestock farmers, and researchers at facilities housing sheep. Prevention and control efforts should be directed primarily toward these groups and environments. 
 
The following measures should be used in the prevention and control of Q fever: 
  
  - Educate the public on sources of infection.  
  - Appropriately dispose of placenta, birth products, fetal membranes, and aborted fetuses at facilities housing sheep and goats.  
  - Restrict access to barns and laboratories used in housing potentially infected animals.   
  - Use appropriate procedures for bagging, autoclaving, and washing of laboratory clothing.  
  - Vaccinate (where possible) individuals engaged in research with pregnant sheep or live C. burnetii.  
  - Quarantine imported animals.  
  - Ensure that holding facilities for sheep should be located away from populated areas. Animals should be routinely tested for antibodies to C. burnetii, and measures should be implemented to prevent airflow to other occupied areas.  
  - Counsel persons at highest risk for developing chronic Q fever, especially persons with pre-existing cardiac valvular disease or individuals with vascular grafts.  
  
 
A vaccine for Q fever has been developed and has successfully protected humans in occupational settings in Australia. However, this vaccine is not commercially available in the United States. Persons wishing to be vaccinated should first have a skin test to determine a history of previous exposure. Individuals who have previously been exposed to C. burnetii should not receive the vaccine because severe reactions, localized to the area of the injected vaccine, may occur. A vaccine for use in animals has also been developed, but it is not available in the United States. 
 Significance for Bioterrorism 
 
Coxiella burnetii is a highly infectious agent that is rather resistant to heat and drying. It can become airborne and inhaled by humans. A single C. burnetii organism may cause disease in a susceptible person. This agent has a past history of being developed for use in biological warfare and is considered a potential terrorist threat.",CDC,Q Fever
105,"Physicians may consider the diagnosis if the patient's history and physical examination suggest botulism. However, these clues are usually not enough to allow a diagnosis of botulism. Other diseases such as Guillain-Barré syndrome, stroke, and myasthenia gravis can appear similar to botulism, and special tests may be needed to exclude these other conditions. These tests may include a brain scan, spinal fluid examination, nerve conduction test (electromyography, or EMG), and a tensilon test for myasthenia gravis. Tests for botulinum toxin and for bacteria that cause botulism can be performed at some state health department laboratories and at CDC.",CDC,Botulism
